"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"A","0.5","125","92.92","64.3707256645491",NA,NA,NA
"A","1","136","242.088235294118","192.531458539204",2012,17.8089430894309,5.25038759689923
"A","1.5","125","258.312","200.061741115248",NA,NA,NA
"A","2","106","130.735849056604","118.429348187556",2013,17.5804878048781,6.575
"A","2.5","99","126.434343434343","107.118203031688",NA,NA,NA
"A","3","80","263.7125","92.0429445380824",2014,17.3447154471545,5.62894736842105
"A","3.5","85","252.905882352941","89.0337848568642",NA,NA,NA
"A","4","206","163.718446601942","80.5732410311147",2015,19.1723577235772,7.64132231404959
"A","4.5","195","164.958762886598","77.7243591861448",NA,NA,NA
"A","5","228","211.361233480176","99.091367038106",2016,18.1837398373984,5.17183098591549
"A","5.5","204","191.71568627451","86.7486462978073",NA,NA,NA
"A","6","275","172.338181818182","114.895788216831",2017,19.1162601626016,5.63157894736842
"A","6.5","228","156.271929824561","86.7468122115072",NA,NA,NA
"A","7","270","155.562962962963","121.711989091404",NA,NA,NA
