"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"B","0.5","139","92.4748201438849","74.486389276615",NA,NA,NA
"B","1","132","397.742424242424","92.168996891424",2012,17.8089430894309,5.25038759689923
"B","1.5","127","381.259842519685","90.0543233407256",NA,NA,NA
"B","2","137","494.92700729927","152.303471969834",2013,17.5804878048781,6.575
"B","2.5","138","491.666666666667","150.14661123775",NA,NA,NA
"B","3","189","395.587301587302","177.543099495075",2014,17.3447154471545,5.62894736842105
"B","3.5","184","395.420765027322","180.091255883137",NA,NA,NA
"B","4","364","287.458791208791","169.529102971902",2015,19.1723577235772,7.64132231404959
"B","4.5","331","283.785498489426","155.811266663781",NA,NA,NA
"B","5","300","363.73","134.006927515236",2016,18.1837398373984,5.17183098591549
"B","5.5","254","367.448818897638","93.0897572439515",NA,NA,NA
"B","6","362","247.828254847645","149.056116872887",2017,19.1162601626016,5.63157894736842
"B","6.5","215","244.023255813953","146.346517536146",NA,NA,NA
"B","7","554","130.599277978339","118.026991730937",NA,NA,NA
