"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"C","0.5","95","101.663157894737","77.9295386225378",NA,NA,NA
"C","1","104","523.173076923077","88.560597684779",2012,17.8089430894309,5.25038759689923
"C","1.5","103","496.456310679612","85.6964291816804",NA,NA,NA
"C","2","172","378.901162790698","199.804924158386",2013,17.5804878048781,6.575
"C","2.5","149","390.355704697987","200.151566684577",NA,NA,NA
"C","3","163","353.552147239264","140.286618131746",2014,17.3447154471545,5.62894736842105
"C","3.5","140","335.514285714286","134.877214917134",NA,NA,NA
"C","4","254","238.232283464567","142.886440098195",2015,19.1723577235772,7.64132231404959
"C","4.5","242","280.851239669421","162.324845208307",NA,NA,NA
"C","5","235","437.225531914894","107.105807714569",2016,18.1837398373984,5.17183098591549
"C","5.5","196","398.265306122449","85.3262878926936",NA,NA,NA
"C","6","464","227.338362068966","169.604786937029",2017,19.1162601626016,5.63157894736842
"C","6.5","348","225.066091954023","150.670178946851",NA,NA,NA
"C","7","562","240.467971530249","133.439845537168",NA,NA,NA
