"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"D","0.5","116","104.870689655172","78.4176699444726",NA,NA,NA
"D","1","80","475.9625","200.40013414622",2012,17.8089430894309,5.25038759689923
"D","1.5","75","459.76","185.47308685075",NA,NA,NA
"D","2","140","132.235714285714","104.58658666864",2013,17.5804878048781,6.575
"D","2.5","98","106.448979591837","68.677960937521",NA,NA,NA
"D","3","66","271.787878787879","100.809876676005",2014,17.3447154471545,5.62894736842105
"D","3.5","61","282.770491803279","102.661319142545",NA,NA,NA
"D","4","252","162.761904761905","122.995735913613",2015,19.1723577235772,7.64132231404959
"D","4.5","213","192.18779342723","134.46277608388",NA,NA,NA
"D","5","75","306.666666666667","133.203495341418",2016,18.1837398373984,5.17183098591549
"D","5.5","64","317.21875","118.207306296628",NA,NA,NA
"D","6","312","173.375","113.86183771052",2017,19.1162601626016,5.63157894736842
"D","6.5","265","149.358490566038","89.1290973684407",NA,NA,NA
"D","7","220","242.522727272727","141.422726635313",NA,NA,NA
