"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"E","0.5","118","115.14406779661","83.4868611827586",NA,NA,NA
"E","1","116","423.224137931034","200.025306494905",2012,17.8089430894309,5.25038759689923
"E","1.5","115","428.408695652174","195.947132847334",NA,NA,NA
"E","2","250","312.452","181.567427195722",2013,17.5804878048781,6.575
"E","2.5","228","313.5","164.542979401993",NA,NA,NA
"E","3","196","314.826530612245","117.685850881256",2014,17.3447154471545,5.62894736842105
"E","3.5","186","329.194594594595","118.771405269759",NA,NA,NA
"E","4","248","318.20564516129","148.528661230314",2015,19.1723577235772,7.64132231404959
"E","4.5","236","339.64406779661","152.327532076408",NA,NA,NA
"E","5","285","426.715789473684","195.896853958045",2016,18.1837398373984,5.17183098591549
"E","5.5","251","408.888","176.061791635481",NA,NA,NA
"E","6","315","247.748407643312","178.274648329685",2017,19.1162601626016,5.63157894736842
"E","6.5","226","240.278761061947","167.081582708077",NA,NA,NA
"E","7","560","175.305357142857","106.783337593969",NA,NA,NA
