"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"F","0.5","118","122.43220338983","109.133140580125",NA,NA,NA
"F","1","120","318.15","216.4805054588",2012,17.8089430894309,5.25038759689923
"F","1.5","107","316.794392523364","198.192527814414",NA,NA,NA
"F","2","71","204.042253521127","155.799178121775",2013,17.5804878048781,6.575
"F","2.5","70","193.842857142857","144.740511011777",NA,NA,NA
"F","3","275","258.101818181818","207.689295847959",2014,17.3447154471545,5.62894736842105
"F","3.5","254","265.673228346457","200.483524974933",NA,NA,NA
"F","4","249","222.763052208835","88.5295426379167",2015,19.1723577235772,7.64132231404959
"F","4.5","241","216.261410788382","83.8518169928439",NA,NA,NA
"F","5","273","170.641025641026","146.888223065754",2016,18.1837398373984,5.17183098591549
"F","5.5","162","187.29012345679","133.193581723772",NA,NA,NA
"F","6","289","130.242214532872","90.0358155005917",2017,19.1162601626016,5.63157894736842
"F","6.5","171","150.198830409357","82.0205583901013",NA,NA,NA
"F","7","241","211.43153526971","109.538294679911",NA,NA,NA
