"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"G","0.5","109","104.183486238532","78.1846301483694",NA,NA,NA
"G","1","172","216.360465116279","163.66796460633",2012,17.8089430894309,5.25038759689923
"G","1.5","168","215.505952380952","155.125793923528",NA,NA,NA
"G","2","54","240.796296296296","140.131391124461",2013,17.5804878048781,6.575
"G","2.5","62","261.903225806452","144.569310585594",NA,NA,NA
"G","3","79","336.430379746835","124.81614001734",2014,17.3447154471545,5.62894736842105
"G","3.5","77","341.649350649351","129.838844061415",NA,NA,NA
"G","4","143","168.454545454545","98.6460972203106",2015,19.1723577235772,7.64132231404959
"G","4.5","126","188.103174603175","104.226355927094",NA,NA,NA
"G","5","182","184.461538461538","148.471014541378",2016,18.1837398373984,5.17183098591549
"G","5.5","142","186.161971830986","144.827784123905",NA,NA,NA
"G","6","257","171.147859922179","130.29096616628",2017,19.1162601626016,5.63157894736842
"G","6.5","196","192.045918367347","122.221920622656",NA,NA,NA
"G","7","226","246.004424778761","137.534173459629",NA,NA,NA
