"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"H","0.5","114","100.535087719298","68.0092627507734",NA,NA,NA
"H","1","86","472.56976744186","90.0552171396134",2012,17.8089430894309,5.25038759689923
"H","1.5","90","442.322222222222","108.699134071138",NA,NA,NA
"H","2","95","290.473684210526","144.285166966307",2013,17.5804878048781,6.575
"H","2.5","59","245.050847457627","145.755395443852",NA,NA,NA
"H","3","86","360.790697674419","127.664921367394",2014,17.3447154471545,5.62894736842105
"H","3.5","84","354.083333333333","113.198004190049",NA,NA,NA
"H","4","257","200.735408560311","132.262907093784",2015,19.1723577235772,7.64132231404959
"H","4.5","239","213.34309623431","134.452701159912",NA,NA,NA
"H","5","254","324.311023622047","138.759131439489",2016,18.1837398373984,5.17183098591549
"H","5.5","209","311.263157894737","129.564442799931",NA,NA,NA
"H","6","275","312.570909090909","137.746002462598",2017,19.1162601626016,5.63157894736842
"H","6.5","243","313.337448559671","133.367886299298",NA,NA,NA
"H","7","659","198.113808801214","116.183695764986",NA,NA,NA
