"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"I","0.5","117","98.5213675213675","71.709615366733",NA,NA,NA
"I","1","90","433.629213483146","125.711374152937",2012,17.8089430894309,5.25038759689923
"I","1.5","92","440.836956521739","123.293741735236",NA,NA,NA
"I","2","222","163.342342342342","132.789255377873",2013,17.5804878048781,6.575
"I","2.5","137","143.846715328467","78.6851404716505",NA,NA,NA
"I","3","187","309.818181818182","126.890135744922",2014,17.3447154471545,5.62894736842105
"I","3.5","185","298.864864864865","124.146731680999",NA,NA,NA
"I","4","213","206.070422535211","84.1472749719085",2015,19.1723577235772,7.64132231404959
"I","4.5","151","201.370860927152","95.6999906578915",NA,NA,NA
"I","5","311","244.88424437299","178.815347475811",2016,18.1837398373984,5.17183098591549
"I","5.5","272","238.680147058824","166.398348043821",NA,NA,NA
"I","6","466","164.972103004292","140.575167489524",2017,19.1162601626016,5.63157894736842
"I","6.5","333","189.303303303303","179.526790684267",NA,NA,NA
"I","7","452","198.161504424779","111.40596354936",NA,NA,NA
