"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"J","0.5","109","116.844036697248","77.9928978618408",NA,NA,NA
"J","1","111","209.279279279279","176.83238962728",2012,17.8089430894309,5.25038759689923
"J","1.5","95","229.168421052632","169.135514887964",NA,NA,NA
"J","2","74","175.702702702703","122.888827108943",2013,17.5804878048781,6.575
"J","2.5","82","183.512195121951","120.288567019546",NA,NA,NA
"J","3","145","199.241379310345","90.9959000802653",2014,17.3447154471545,5.62894736842105
"J","3.5","135","203.155555555556","93.819679909433",NA,NA,NA
"J","4","201","204.029850746269","96.9394610284048",2015,19.1723577235772,7.64132231404959
"J","4.5","198","213.813131313131","93.5949282179042",NA,NA,NA
"J","5","45","398.444444444444","215.783620108364",2016,18.1837398373984,5.17183098591549
"J","5.5","33","456.30303030303","192.558835951587",NA,NA,NA
"J","6","318","216.547169811321","140.382429365696",2017,19.1162601626016,5.63157894736842
"J","6.5","274","211.445255474453","117.790490092204",NA,NA,NA
"J","7","200","207.135","141.71585547661",NA,NA,NA
