"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"K","0.5","113","98.6902654867257","65.3580904990261",NA,NA,NA
"K","1","217","198.552995391705","169.780027079609",2012,17.8089430894309,5.25038759689923
"K","1.5","211","196.352380952381","168.868000371082",NA,NA,NA
"K","2","120","298.091666666667","134.58638760399",2013,17.5804878048781,6.575
"K","2.5","107","317.542056074766","135.542048086586",NA,NA,NA
"K","3","97","302.319587628866","106.660534953163",2014,17.3447154471545,5.62894736842105
"K","3.5","97","319.226804123711","107.542676137065",NA,NA,NA
"K","4","128","274.3046875","122.104418886921",2015,19.1723577235772,7.64132231404959
"K","4.5","121","302","117.812845932295",NA,NA,NA
"K","5","21","421.333333333333","447.898909725547",2016,18.1837398373984,5.17183098591549
"K","5.5","11","298.727272727273","340.765635271249",NA,NA,NA
"K","6","195","151.282051282051","138.877300424116",2017,19.1162601626016,5.63157894736842
"K","6.5","144","147.75","106.543303517751",NA,NA,NA
"K","7","221","191.570135746606","114.583795516563",NA,NA,NA
