"tank","t","N","Z_mean","Z_sd","year","temp_mean_summer","temp_mean_winter"
"L","0.5","112","107.464285714286","77.4432577598475",NA,NA,NA
"L","1","98","444.010204081633","88.1712830378193",2012,17.8089430894309,5.25038759689923
"L","1.5","94","434.542553191489","74.2462721114224",NA,NA,NA
"L","2","107","352.439252336449","125.489319816927",2013,17.5804878048781,6.575
"L","2.5","91","344.56043956044","128.538555287354",NA,NA,NA
"L","3","81","417.135802469136","117.206628768003",2014,17.3447154471545,5.62894736842105
"L","3.5","82","415.878048780488","111.198231427883",NA,NA,NA
"L","4","160","253.6125","138.785658345033",2015,19.1723577235772,7.64132231404959
"L","4.5","141","250.780141843972","136.314137837076",NA,NA,NA
"L","5","150","473.733333333333","195.370433443707",2016,18.1837398373984,5.17183098591549
"L","5.5","135","502.718518518519","174.068851185422",NA,NA,NA
"L","6","265","214.124528301887","190.604410369078",2017,19.1162601626016,5.63157894736842
"L","6.5","163","179.042944785276","165.834267620419",NA,NA,NA
"L","7","479","163.027139874739","97.5516668938522",NA,NA,NA
